Fecha,TipoGasto,Costo,Sucursal
2023-01-01,Nómina,37874,Roma
2023-01-01,Renta,69791,Roma
2023-01-01,Renta,56902,Polanco
2023-01-01,Nómina,41716,Polanco
2023-01-01,Renta,51355,Condesa
2023-01-01,Nómina,38263,Condesa
2023-01-02,Microsoft 365,2200,Roma
2023-01-02,Microsoft 365,2200,Polanco
2023-01-02,Microsoft 365,2200,Condesa
2023-01-03,Internet,977,Roma
2023-01-03,Internet,1283,Polanco
2023-01-03,Internet,1172,Condesa
2023-01-05,Luz,5196,Polanco
2023-01-05,Luz,7082,Condesa
2023-01-05,Luz,8527,Roma
2023-01-10,Publicidad,4277,Condesa
2023-01-10,Publicidad,3879,Roma
2023-01-10,Publicidad,3735,Polanco
2023-01-12,Agua,2854,Polanco
2023-01-12,Agua,3291,Roma
2023-01-12,Agua,1528,Condesa
2023-01-15,Limpieza,3727,Roma
2023-01-15,Limpieza,5698,Polanco
2023-01-15,Limpieza,4887,Condesa
2023-01-18,Mantenimiento de equipo,6486,Roma
2023-01-18,Mantenimiento de equipo,2418,Polanco
2023-01-18,Mantenimiento de equipo,3249,Condesa
2023-01-20,Mantenimiento de sucursal,5334,Polanco
2023-01-20,Mantenimiento de sucursal,3752,Roma
2023-01-20,Mantenimiento de sucursal,3054,Condesa
2023-01-22,Software administrativo,3624,Polanco
2023-01-22,Software administrativo,4366,Roma
2023-01-22,Software administrativo,3562,Condesa
2023-01-25,Contabilidad,7814,Condesa
2023-01-25,Contabilidad,8171,Roma
2023-01-25,Contabilidad,8442,Polanco
2023-01-26,Papelería,1671,Polanco
2023-01-26,Papelería,1750,Condesa
2023-01-26,Papelería,1874,Roma
2023-01-28,Pago de crédito de financiamiento,12250,Roma
2023-01-28,Pago de crédito de financiamiento,10737,Polanco
2023-01-28,Pago de crédito de financiamiento,7873,Condesa
2023-02-01,Renta,58838,Condesa
2023-02-01,Nómina,40307,Roma
2023-02-01,Renta,43089,Roma
2023-02-01,Renta,64852,Polanco
2023-02-01,Nómina,42840,Polanco
2023-02-01,Nómina,40394,Condesa
2023-02-02,Microsoft 365,2200,Roma
2023-02-02,Microsoft 365,2200,Polanco
